Threads,Speedup
1,1.0
2,0.4041083663681683
3,0.3780472012595753
4,0.34033509274078266
5,0.3248841440355391
6,0.2759086972790934
7,0.22562726308154685
8,0.1997035298152494
9,0.18026721922185723
10,0.16239366149784817
11,0.14025986787469924
12,0.13027824602185487
13,0.12207565202106238
14,0.11381364021491261
15,0.10498124689821256
16,0.10145250918756758
17,0.09657527777191502
18,0.09177723602262702
19,0.09051259061563428
20,0.0866796323325516
21,0.0801103404842818
22,0.07821529214444138
23,0.07546781817109928
24,0.0751374227870273
25,0.07313218651383802
26,0.070890922268288
27,0.06723622793149842
28,0.06333617498500967
29,0.058932404729623765
30,0.051880056809473565
31,0.04764075694971794
32,0.04671063591546303
