Threads,Efficiency
1,1.0
2,0.20205418318408416
3,0.12601573375319178
4,0.08508377318519567
5,0.06497682880710783
6,0.0459847828798489
7,0.03223246615450669
8,0.024962941226906173
9,0.020029691024650804
10,0.016239366149784818
11,0.012750897079518113
12,0.010856520501821239
13,0.009390434770850952
14,0.008129545729636615
15,0.006998749793214171
16,0.006340781824222974
17,0.005680898692465589
18,0.00509873533459039
19,0.004763820558717594
20,0.00433398161662758
21,0.003814778118299133
22,0.0035552405520200628
23,0.0032812094856999687
24,0.0031307259494594707
25,0.0029252874605535206
26,0.0027265739333956923
27,0.0024902306641295707
28,0.002262006249464631
29,0.0020321518872284056
30,0.0017293352269824522
31,0.001536798611281224
32,0.0014597073723582198
