Threads,Efficiency
1,1.0
2,0.957078818753882
3,0.9175248741070208
4,0.8455538372853549
5,0.7772245573812254
6,0.7918820921709702
7,0.667437068084818
8,0.5432451248522143
9,0.5560968896981561
10,0.4865865522630858
11,0.4421257720186531
12,0.4317290983908124
13,0.4118955800467248
14,0.39345745339372123
15,0.39496998236160336
16,0.36941636719393245
17,0.3566686091947237
18,0.3404360847219712
19,0.30291578014096376
20,0.329790948299158
21,0.3259568253398461
22,0.31518901557765644
23,0.31850356320573164
24,0.30980733222042156
25,0.2935730866840668
26,0.30158304173338873
27,0.29087304481463844
28,0.28902562868624326
29,0.27535260714492005
30,0.2784580281561595
31,0.24517760337897243
32,0.20578790388724616
