Threads,Time (seconds)
1,0.610199
2,0.318782
3,0.221683
4,0.180414
5,0.15702
6,0.128428
7,0.130606
8,0.140406
9,0.121921
10,0.125404
11,0.125468
12,0.117782
13,0.113957
14,0.110776
15,0.102995
16,0.103237
17,0.100637
18,0.099578
19,0.106022
20,0.092513
21,0.089144
22,0.087999
23,0.083297
24,0.082067
25,0.083141
26,0.07782
27,0.077697
28,0.075401
29,0.076416
30,0.073045
31,0.080284
32,0.092662
